,accuracy,precision,recall,f-scoce
0,0.48333333333333334,0.4330357142857143,0.48333333333333334,0.36388508891928867
1,0.4666666666666667,0.37737083060824067,0.4666666666666667,0.3479678330797653
2,0.485,0.4563826693806339,0.485,0.3839528694039893
3,0.4866666666666667,0.4339788732394366,0.4866666666666667,0.3587252234745434
4,0.49833333333333335,0.4927991935096731,0.4983333333333333,0.37902080589758314
5,0.5066666666666667,0.5226449275362319,0.5066666666666666,0.40100372349036756
6,0.5033333333333333,0.5147754137115839,0.5033333333333333,0.38409391534391535
7,0.5033333333333333,0.5133928571428572,0.5033333333333333,0.38850889192886456
8,0.49833333333333335,0.493455211832977,0.49833333333333335,0.3834473011310294
9,0.49166666666666664,0.45152220283110334,0.49166666666666664,0.35895414945826365
10,0.5333333333333333,0.5334284186129434,0.5333333333333334,0.5330012453300125
11,0.49166666666666664,0.46996996996997,0.49166666666666664,0.3796084413933384
12,0.49666666666666665,0.4824561403508772,0.49666666666666665,0.36886102403343785
13,0.495,0.480365635498931,0.495,0.3793506054574814
14,0.49166666666666664,0.49164578111946533,0.4916666666666667,0.4913487596414426
15,0.49666666666666665,0.4901523109243697,0.49666666666666665,0.3969327440225784
16,0.495,0.4839279974284796,0.495,0.3899308386940896
17,0.48,0.43454545454545457,0.48,0.3707563025210084
18,0.5083333333333333,0.53003003003003,0.5083333333333333,0.39994914823290106
19,0.48,0.4409138655462185,0.48000000000000004,0.3769636295862399
20,0.49333333333333335,0.48091360223947066,0.4933333333333333,0.39489642909274275
21,0.5116666666666667,0.5362181366631023,0.5116666666666667,0.41202243545792344
22,0.495,0.47724399494311,0.495,0.3726166853593305
23,0.48833333333333334,0.4624986606664524,0.48833333333333334,0.38187712039302146
24,0.47333333333333333,0.39285714285714285,0.47333333333333333,0.35157318741450067
